"region","maternaldeathsper100000livebirths","infantdeathsper1000livebirths","years"
"Africa",292.12962962963,40.5018518518519,67.0685185185185
"Australia and Oceania",94.7142857142857,15.15,75.4928571428571
"Central America and the Caribbean",69.2380952380952,13.1857142857143,76.5428571428571
"Central Asia",18.1111111111111,17.6666666666667,73.8222222222222
"East and Southeast Asia",77.6470588235294,16.7352941176471,75.5823529411765
"Europe",7,4.32857142857143,80.1238095238095
"Middle East",22.9375,13.61875,77.1625
"North America",23.6666666666667,7.16666666666667,79.9
"South America",73.3333333333333,14.9,75.325
"South Asia",138.75,36.4375,71.125
